Cell,x,y
B_cells,0.03125,0.031409636
B_cells,0.181818182,0.181588703
B_cells,0,0.000328231
B_cells,0.166666667,0.163084463
B_cells,0.216216216,0.216601313
B_cells,0.135135135,0.135136851
B_cells,0.0625,0.04986173
B_cells,0.230769231,0.218850431
B_cells,0.08,0.080017041
B_cells,0.347826087,0.34717351
B_cells,0,1.53E-05
B_cells,0.08,0.080374022
B_cells,0.227272727,0.226728016
B_cells,0.108108108,0.088875965
B_cells,0.170731707,0.170964808
B_cells,0.035714286,0.035672847
B_cells,0.15,0.149560753
B_cells,0.176470588,0.176467847
B_cells,0.243902439,0.239317507
B_cells,0.12,0.119622284
B_cells,0.086956522,0.091145852
B_cells,0.055555556,0.055585431
B_cells,0.214285714,0.214188169
B_cells,0.119047619,0.118972804
B_cells,0.233333333,0.232794687
B_cells,0,0.000209549
B_cells,0.045454545,0.038770921
B_cells,0.043478261,0.043517671
B_cells,0.205128205,0.203716659
B_cells,0.210526316,0.209298223
B_cells,0.205882353,0.157017122
B_cells,0.125,0.125042214
B_cells,0.238095238,0.239172368
B_cells,0.181818182,0.181801124
B_cells,0.193548387,0.193513916
CD4_Tcells,0.157894737,0.158099624
CD4_Tcells,0.054054054,0.055626754
CD4_Tcells,0.171428571,0.171543941
CD4_Tcells,0.277777778,0.277818945
CD4_Tcells,0.444444444,0.444254621
CD4_Tcells,0.194444444,0.187702856
CD4_Tcells,0.151515152,0.151500675
CD4_Tcells,0.151515152,0.152146383
CD4_Tcells,0.0625,0.063491015
CD4_Tcells,0.315789474,0.315869072
CD4_Tcells,0.315789474,0.314874781
CD4_Tcells,0.055555556,0.055195973
CD4_Tcells,0.266666667,0.267679959
CD4_Tcells,0.045454545,0.065288656
CD4_Tcells,0.175,0.175216941
CD4_Tcells,0.228571429,0.228549379
CD4_Tcells,0.137931034,0.137754894
CD4_Tcells,0.225,0.22492636
CD4_Tcells,0.055555556,0.055385136
CD4_Tcells,0.225806452,0.225861475
CD4_Tcells,0.233333333,0.233098558
CD4_Tcells,0.225,0.225074599
CD4_Tcells,0.3,0.301142972
CD4_Tcells,0.28,0.278878689
CD4_Tcells,0.2,0.200016722
CD4_Tcells,0.24,0.240314119
CD4_Tcells,0.066666667,0.066556209
CD4_Tcells,0.272727273,0.2862019
CD4_Tcells,0.214285714,0.23262033
CD4_Tcells,0.086956522,0.087007559
CD4_Tcells,0.076923077,0.07683083
CD4_Tcells,0.111111111,0.110646313
CD4_Tcells,0.210526316,0.210346015
CD4_Tcells,0.03125,0.031533279
CD4_Tcells,0.142857143,0.14269474
